run_dir,run_label,model,prompt_format,max_new_tokens,kl_risk_threshold,uckv_risk_tolerance,split,policy,task_type,prompts,answer_contains,avg_kept_tokens,fallback_steps,avg_kl,top1_mismatch_rate,avg_retained_ratio,avg_full_tokens,replay_metric_source
outputs/experiments/20260710_150144_956261_longshift_smollm2_chat_retrieval48_seed53_shortcal_longeval_thr01_tol036_w512_HuggingFaceTB__SmolLM2-135M-Instruct,longshift_smollm2_chat_retrieval48_seed53_shortcal_longeval_thr01_tol036_w512,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,full,kv_retrieval,24,0.7916666666666666,1143.6666666666667,0,0.0,0.0,1.0,1143.6666666666667,actual_replay
outputs/experiments/20260710_150144_956261_longshift_smollm2_chat_retrieval48_seed53_shortcal_longeval_thr01_tol036_w512_HuggingFaceTB__SmolLM2-135M-Instruct,longshift_smollm2_chat_retrieval48_seed53_shortcal_longeval_thr01_tol036_w512,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_256,kv_retrieval,24,0.2916666666666667,260.0,0,0.4297224174683869,0.1180555555555555,0.2313337939920381,1143.6666666666667,actual_replay
outputs/experiments/20260710_150144_956261_longshift_smollm2_chat_retrieval48_seed53_shortcal_longeval_thr01_tol036_w512_HuggingFaceTB__SmolLM2-135M-Instruct,longshift_smollm2_chat_retrieval48_seed53_shortcal_longeval_thr01_tol036_w512,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_384,kv_retrieval,24,0.2916666666666667,388.0,0,0.4178855952241415,0.1180555555555555,0.3452212002650416,1143.6666666666667,actual_replay
outputs/experiments/20260710_150144_956261_longshift_smollm2_chat_retrieval48_seed53_shortcal_longeval_thr01_tol036_w512_HuggingFaceTB__SmolLM2-135M-Instruct,longshift_smollm2_chat_retrieval48_seed53_shortcal_longeval_thr01_tol036_w512,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_512,kv_retrieval,24,0.4583333333333333,516.0,0,0.2918061774513855,0.0850694444444444,0.4591086065380449,1143.6666666666667,actual_replay
outputs/experiments/20260710_150144_956261_longshift_smollm2_chat_retrieval48_seed53_shortcal_longeval_thr01_tol036_w512_HuggingFaceTB__SmolLM2-135M-Instruct,longshift_smollm2_chat_retrieval48_seed53_shortcal_longeval_thr01_tol036_w512,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,uckv_budget,kv_retrieval,24,0.4583333333333333,516.0,576,0.2918061774513855,0.0850694444444444,0.4591086065380449,1143.6666666666667,actual_replay
outputs/experiments/20260710_154721_814859_longshift_smollm2_chat_retrieval48_seed59_shortcal_longeval_thr01_tol036_w512_HuggingFaceTB__SmolLM2-135M-Instruct,longshift_smollm2_chat_retrieval48_seed59_shortcal_longeval_thr01_tol036_w512,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,full,kv_retrieval,24,0.8333333333333334,1143.4583333333333,0,0.0,0.0,1.0,1143.4583333333333,actual_replay
outputs/experiments/20260710_154721_814859_longshift_smollm2_chat_retrieval48_seed59_shortcal_longeval_thr01_tol036_w512_HuggingFaceTB__SmolLM2-135M-Instruct,longshift_smollm2_chat_retrieval48_seed59_shortcal_longeval_thr01_tol036_w512,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_256,kv_retrieval,24,0.2916666666666667,260.0,0,0.4811697704088467,0.125,0.2314218625946304,1143.4583333333333,actual_replay
outputs/experiments/20260710_154721_814859_longshift_smollm2_chat_retrieval48_seed59_shortcal_longeval_thr01_tol036_w512_HuggingFaceTB__SmolLM2-135M-Instruct,longshift_smollm2_chat_retrieval48_seed59_shortcal_longeval_thr01_tol036_w512,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_384,kv_retrieval,24,0.2916666666666667,388.0,0,0.4743989294636643,0.1197916666666666,0.3453526257181408,1143.4583333333333,actual_replay
outputs/experiments/20260710_154721_814859_longshift_smollm2_chat_retrieval48_seed59_shortcal_longeval_thr01_tol036_w512_HuggingFaceTB__SmolLM2-135M-Instruct,longshift_smollm2_chat_retrieval48_seed59_shortcal_longeval_thr01_tol036_w512,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_512,kv_retrieval,24,0.4166666666666667,516.0,0,0.3425317203808881,0.0902777777777777,0.4592833888416512,1143.4583333333333,actual_replay
outputs/experiments/20260710_154721_814859_longshift_smollm2_chat_retrieval48_seed59_shortcal_longeval_thr01_tol036_w512_HuggingFaceTB__SmolLM2-135M-Instruct,longshift_smollm2_chat_retrieval48_seed59_shortcal_longeval_thr01_tol036_w512,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,uckv_budget,kv_retrieval,24,0.4166666666666667,516.0,246,0.3425317203808881,0.0902777777777777,0.4592833888416512,1143.4583333333333,actual_replay
outputs/experiments/20260710_163512_740942_longshift_smollm2_chat_retrieval48_seed61_shortcal_longeval_thr01_tol036_w512_HuggingFaceTB__SmolLM2-135M-Instruct,longshift_smollm2_chat_retrieval48_seed61_shortcal_longeval_thr01_tol036_w512,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,full,kv_retrieval,24,0.8333333333333334,1139.4583333333333,0,0.0,0.0,1.0,1139.4583333333333,actual_replay
outputs/experiments/20260710_163512_740942_longshift_smollm2_chat_retrieval48_seed61_shortcal_longeval_thr01_tol036_w512_HuggingFaceTB__SmolLM2-135M-Instruct,longshift_smollm2_chat_retrieval48_seed61_shortcal_longeval_thr01_tol036_w512,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_256,kv_retrieval,24,0.2916666666666667,260.0,0,0.4525980058259264,0.1111111111111111,0.2321623288360101,1139.4583333333333,actual_replay
outputs/experiments/20260710_163512_740942_longshift_smollm2_chat_retrieval48_seed61_shortcal_longeval_thr01_tol036_w512_HuggingFaceTB__SmolLM2-135M-Instruct,longshift_smollm2_chat_retrieval48_seed61_shortcal_longeval_thr01_tol036_w512,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_384,kv_retrieval,24,0.2916666666666667,388.0,0,0.4498314814223529,0.109375,0.3464576291860459,1139.4583333333333,actual_replay
outputs/experiments/20260710_163512_740942_longshift_smollm2_chat_retrieval48_seed61_shortcal_longeval_thr01_tol036_w512_HuggingFaceTB__SmolLM2-135M-Instruct,longshift_smollm2_chat_retrieval48_seed61_shortcal_longeval_thr01_tol036_w512,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_512,kv_retrieval,24,0.4583333333333333,516.0,0,0.3261670468700591,0.0798611111111111,0.4607529295360816,1139.4583333333333,actual_replay
outputs/experiments/20260710_163512_740942_longshift_smollm2_chat_retrieval48_seed61_shortcal_longeval_thr01_tol036_w512_HuggingFaceTB__SmolLM2-135M-Instruct,longshift_smollm2_chat_retrieval48_seed61_shortcal_longeval_thr01_tol036_w512,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,uckv_budget,kv_retrieval,24,0.4583333333333333,395.76215277777777,111,0.3255615610903214,0.0815972222222222,0.3678959166866947,1139.4583333333333,actual_replay
